customer_id,age,gender,location,Purchase_history,loyality_program,product_purchased,browsing_history,search_queries,social_media_active,email_open_rate,avg_order_value
28,56,Famale,Urban,703,1,B,16,8,2,0.24,68.96
29,46,Famale,Rural,980,0,A,31,11,0,0.99,21.99
30,32,Male,Urban,842,0,A,34,6,1,0.95,24.21
31,25,Famale,Urban,177,1,C,25,11,1,0.56,57.83
32,38,Male,Urban,184,0,A,42,17,1,0.7,43.82
33,56,Famale,Urban,129,1,A,25,10,2,0.8,157.12
34,36,Famale,Rural,824,0,C,42,17,1,0.72,71.12
35,40,Male,Rural,148,0,C,44,2,2,0.7,162.89
36,28,Male,Urban,876,0,C,19,6,0,0.96,43.03
37,28,Male,Rural,244,0,C,22,5,1,0.6,103.65
38,41,Famale,Rural,168,0,B,33,4,0,0.64,140.73
39,53,Male,Urban,157,0,B,42,2,2,0.85,133.88
40,57,Famale,Rural,796,0,B,25,12,2,0.67,124.21
41,41,Male,Urban,673,0,A,21,3,1,0.73,185.72
42,20,Famale,Rural,578,0,C,45,6,1,0.23,53.42
43,39,Famale,Rural,919,0,C,22,14,2,0.37,103.81
44,19,Male,Rural,544,0,B,41,8,1,0.15,177.96
45,41,Famale,Urban,395,0,A,42,14,1,0.51,24.8
46,47,Famale,Rural,777,0,A,16,3,0,0.46,20.62
47,55,Male,Urban,270,1,A,15,16,2,1.0,54.33
48,19,Famale,Urban,674,0,B,24,15,0,0.61,130.27
49,38,Male,Rural,246,0,A,13,7,1,0.79,59.38
50,50,Male,Urban,583,0,A,5,15,0,0.33,46.15
51,29,Male,Rural,405,0,A,7,13,2,0.83,97.17
52,39,Male,Urban,772,0,C,25,6,0,0.62,126.58
53,42,Famale,Urban,752,0,B,27,15,0,0.7,57.23
54,44,Famale,Rural,945,1,C,13,17,1,0.29,67.13
55,59,Famale,Rural,708,1,C,23,4,2,0.55,126.58
56,45,Male,Rural,545,1,B,49,14,1,0.63,189.69
57,33,Famale,Rural,320,0,C,23,15,1,0.59,138.2
58,32,Famale,Urban,654,0,A,27,12,2,0.92,158.75
59,20,Male,Urban,903,0,A,31,19,0,0.9,79.69
60,54,Male,Urban,477,1,A,31,10,1,0.97,61.73
61,24,Famale,Rural,719,0,A,43,6,0,0.67,96.31
62,38,Male,Urban,365,0,B,40,9,2,0.97,163.36
63,26,Male,Rural,194,1,C,16,2,1,0.83,96.7
64,56,Male,Urban,361,1,C,31,4,0,0.27,170.88
65,35,Male,Rural,924,0,A,38,9,0,0.43,197.87
66,21,Famale,Urban,996,0,A,37,15,1,0.24,23.69
67,42,Male,Urban,170,0,C,32,13,2,0.0,18.63
68,31,Male,Rural,318,0,B,35,8,0,0.19,38.42
69,26,Male,Urban,632,1,C,36,19,2,0.0,83.03
70,43,Male,Rural,191,0,A,24,19,1,0.72,34.9
71,19,Male,Urban,226,0,A,44,16,0,0.43,175.43
72,37,Male,Urban,179,1,B,39,11,0,0.31,14.4
73,45,Male,Rural,923,0,C,35,10,0,0.76,70.0
74,24,Male,Rural,337,0,B,35,8,2,0.83,45.09
75,25,Famale,Urban,471,1,B,42,1,0,0.98,186.99
76,52,Male,Urban,585,1,A,26,10,0,0.64,137.2
77,31,Famale,Urban,793,0,C,49,18,1,0.46,183.29
78,34,Male,Urban,124,1,A,45,3,0,0.31,194.74
79,53,Male,Urban,255,1,C,13,11,2,0.22,104.45
80,57,Male,Urban,616,0,A,13,18,1,0.21,54.52
81,21,Male,Rural,731,1,A,19,3,1,0.41,46.81
82,19,Famale,Rural,888,0,C,17,8,0,0.99,52.35
83,23,Male,Rural,629,0,C,26,14,1,0.0,144.63
84,59,Male,Urban,809,0,A,20,6,0,0.2,17.68
85,21,Famale,Urban,156,0,C,36,15,1,0.19,19.76
86,46,Famale,Urban,704,1,A,6,14,2,0.72,125.55
87,35,Male,Rural,118,0,C,30,7,0,0.35,131.99
88,43,Famale,Rural,483,0,A,18,10,2,0.46,136.4
89,51,Famale,Urban,964,0,A,42,15,0,0.15,80.66
90,27,Famale,Urban,292,0,A,38,10,2,0.4,163.13
91,53,Male,Rural,336,1,B,12,17,2,0.1,111.39
92,31,Male,Rural,486,1,C,40,19,1,0.53,30.04
93,48,Male,Rural,525,1,A,25,17,0,0.1,161.45
94,32,Famale,Urban,376,0,B,47,12,1,0.79,191.08
95,25,Male,Urban,326,1,A,32,15,2,0.57,21.41
96,31,Famale,Urban,844,1,B,48,12,0,0.72,84.36
97,40,Male,Rural,651,0,A,10,9,2,0.42,102.63
98,57,Male,Rural,422,1,A,24,5,2,0.38,37.83
99,38,Famale,Urban,252,0,B,35,4,2,0.1,174.86
100,33,Male,Urban,738,1,B,37,12,2,0.52,63.99
101,35,Famale,Rural,336,1,C,48,16,1,0.51,158.77
102,41,Famale,Urban,154,1,C,11,9,2,0.47,137.49
103,43,Male,Rural,535,1,B,12,3,1,0.74,123.63
104,42,Famale,Rural,783,0,C,13,3,2,0.83,46.51
